Iteration,Loss
0,0.0733645394748102
1,0.03784805591084102
2,0.03784805591084102
3,0.036141189428454804
4,0.035030393330570654
5,0.03387947386835673
6,0.03387947386835673
7,0.03387947386835673
8,0.03387947386835673
9,0.03387947386835673
10,0.03387947386835673
11,0.03387947386835673
12,0.03366488067594865
13,0.03343545051302124
14,0.031752135508519824
15,0.03069890616833034
16,0.02912223306281863
17,0.028325802910914043
18,0.025311957470631974
19,0.019394589838751725
20,0.017158584601777483
21,0.015559069208907959
22,0.012788252028234168
23,0.010104627306339424
24,0.008986487714084113
25,0.005988517807480193
26,0.00281084933321106
27,0.00281084933321106
28,0.00281084933321106
29,0.00281084933321106
30,0.00281084933321106
31,0.00281084933321106
32,0.00281084933321106
33,0.00281084933321106
34,0.00281084933321106
35,0.0024907500668673076
36,0.0024907500668673076
37,0.0016693184344599838
38,0.0016693184344599838
39,0.0016693184344599838
40,0.0016693184344599838
41,0.0016693184344599838
42,0.0014905563898630118
43,0.0014905563898630118
44,0.0008441837615980128
45,0.0007180831867189503
46,0.0006022596372705414
47,0.0005088751233541843
48,0.00036251153741597624
49,0.00020524316464009672
50,0.00019808557497521083
51,0.00017359814126002005
52,0.00017359814126002005
53,0.00015405588215255728
54,0.00015405588215255728
55,0.00014798082989507194
56,0.00014798082989507194
57,0.00014604400242983556
58,0.0001384174296413765
59,0.00012094703140989795
60,0.00012094703140989795
61,0.00011517325694034483
62,0.00010034195485883975
63,0.00010034195485883975
64,9.278961398186891e-05
65,9.278961398186891e-05
66,9.278961398186891e-05
67,8.94979151601578e-05
68,8.94979151601578e-05
69,8.94979151601578e-05
70,8.94979151601578e-05
71,8.948179702901093e-05
72,8.8723770528671e-05
73,8.834250602314052e-05
74,8.823962971651063e-05
75,8.823962971651063e-05
76,8.821261025746651e-05
77,8.820701218607756e-05
78,8.820701218607756e-05
79,8.820701218607756e-05
80,8.820657928707536e-05
81,8.820530191060959e-05
82,8.820530191060959e-05
83,8.820530191060959e-05
84,8.82052635441935e-05
85,8.820511258235757e-05
86,8.820502918096068e-05
87,8.820502918096068e-05
88,8.820499207196157e-05
89,8.820499207196157e-05
90,8.820498675264117e-05
91,8.820498675264117e-05
92,8.82049858775935e-05
93,8.82049858775935e-05
94,8.820498489734385e-05
95,8.820498489734385e-05
96,8.820498489734385e-05
97,8.820498483083587e-05
98,8.82049847414194e-05
99,8.820498469848636e-05
100,8.820498469848636e-05
101,8.820498469848636e-05
102,8.820498469848636e-05
103,8.820498469134242e-05
104,8.820498469134242e-05
105,8.820498469134242e-05
106,8.820498469134242e-05
107,8.82049846909761e-05
108,8.82049846909761e-05
